country,date,movility_reduction,deaths,pop,pct,movility_in_t_minus_23
India,2020-04-03,28.428571428571427,72,1263930000,0.0,2.2857142857142856
India,2020-04-04,28.285714285714285,86,1263930000,0.19444444444444442,2.2857142857142856
India,2020-04-05,28.142857142857142,99,1263930000,0.15116279069767447,2.2857142857142856
India,2020-04-06,28.142857142857142,136,1263930000,0.3737373737373737,2.857142857142857
India,2020-04-07,28.0,150,1263930000,0.10294117647058831,3.2857142857142856
India,2020-04-08,28.0,178,1263930000,0.18666666666666676,3.2857142857142856
India,2020-04-09,28.0,226,1263930000,0.2696629213483146,2.142857142857143
India,2020-04-10,28.285714285714285,246,1263930000,0.08849557522123885,2.5714285714285716
India,2020-04-11,28.571428571428573,288,1263930000,0.1707317073170731,3.2857142857142856
India,2020-04-12,28.714285714285715,331,1263930000,0.14930555555555558,4.142857142857143
India,2020-04-13,28.857142857142858,358,1263930000,0.08157099697885206,4.714285714285714
India,2020-04-14,29.142857142857142,393,1263930000,0.0977653631284916,7.285714285714286
India,2020-04-15,29.142857142857142,405,1263930000,0.03053435114503822,9.714285714285714
India,2020-04-16,29.142857142857142,448,1263930000,0.10617283950617273,12.857142857142858
India,2020-04-17,29.0,486,1263930000,0.0848214285714286,16.571428571428573
India,2020-04-18,28.714285714285715,521,1263930000,0.07201646090534974,20.142857142857142
India,2020-04-19,28.714285714285715,559,1263930000,0.07293666026871404,23.571428571428573
India,2020-04-20,28.571428571428573,592,1263930000,0.05903398926654746,26.571428571428573
India,2020-04-21,28.428571428571427,645,1263930000,0.08952702702702697,26.714285714285715
India,2020-04-22,28.428571428571427,681,1263930000,0.05581395348837215,28.142857142857142
India,2020-04-23,28.428571428571427,721,1263930000,0.058737151248164476,28.714285714285715
India,2020-04-24,28.285714285714285,780,1263930000,0.08183079056865461,28.571428571428573
India,2020-04-25,28.428571428571427,825,1263930000,0.05769230769230771,28.571428571428573
India,2020-04-26,28.428571428571427,881,1263930000,0.06787878787878787,28.428571428571427
India,2020-04-27,28.571428571428573,939,1263930000,0.06583427922814988,28.285714285714285
India,2020-04-28,28.428571428571427,1008,1263930000,0.07348242811501593,28.142857142857142
India,2020-04-29,28.428571428571427,1079,1263930000,0.07043650793650791,28.142857142857142
India,2020-04-30,28.285714285714285,1154,1263930000,0.06950880444856344,28.0
India,2020-05-01,28.285714285714285,1223,1263930000,0.05979202772963599,28.0
India,2020-05-02,28.0,1323,1263930000,0.08176614881439082,28.0
Iraq,2020-02-15,0.0,0,36004552,,
Iraq,2020-02-16,0.0,0,36004552,,
Iraq,2020-02-17,-0.3333333333333333,0,36004552,,
Iraq,2020-02-18,-0.5,0,36004552,,
Iraq,2020-02-19,-0.4,0,36004552,,
Iraq,2020-02-20,-0.16666666666666666,0,36004552,,
Iraq,2020-02-21,-0.14285714285714285,0,36004552,,
Iraq,2020-02-22,-0.14285714285714285,0,36004552,,
Iraq,2020-02-23,-0.14285714285714285,0,36004552,,
Iraq,2020-02-24,-0.14285714285714285,0,36004552,,
Iraq,2020-02-25,0.14285714285714285,0,36004552,,
Iraq,2020-02-26,0.2857142857142857,0,36004552,,
Iraq,2020-02-27,0.5714285714285714,0,36004552,,
Iraq,2020-02-28,0.7142857142857143,0,36004552,,
Iraq,2020-02-29,0.8571428571428571,0,36004552,,
Iraq,2020-03-01,1.1428571428571428,0,36004552,,
Iraq,2020-03-02,1.5714285714285714,0,36004552,,
Iraq,2020-03-03,1.7142857142857142,0,36004552,,
Iraq,2020-03-04,1.8571428571428572,2,36004552,inf,
Iraq,2020-03-05,2.0,2,36004552,0.0,
